PRECISE MISSION TIME (min),Pvx,Pvy,Pvz,Ppx,Ppy,Ppz,Distance X,Distance Y,Distance Z,Total Distance
8.919813878,-7.600646416,1.857436845,2.676091503,2010.776229,4947.71378,3812.373907,-7.599108,1.860915,2.678761,1994.284277
8.936480545,-7.603722571,1.85048134,2.670752835,2003.174044,4949.567739,3815.047329,-7.602185,1.853959,2.673422,2002.55335
8.953147212,-7.606798725,1.843525835,2.665414167,1995.568784,4951.414742,3817.715413,-7.60526,1.847003,2.668084,2010.82197
8.969813878,-7.60987488,1.83657033,2.660075499,1987.960447,4953.25479,3820.378157,-7.608337,1.840048,2.662744,2019.090148
8.986480545,-7.612951034,1.829614825,2.654736832,1980.349034,4955.087883,3823.035564,-7.611413,1.833093,2.657407,2027.357896
9.003147212,-7.616027189,1.822659319,2.649398164,1972.734545,4956.91402,3825.687631,-7.614489,1.826137,2.652067,2035.625222
9.019813878,-7.619103344,1.815703814,2.644059496,1965.11698,4958.733202,3828.33436,-7.617565,1.819182,2.646729,2043.892137
9.036480545,-7.622179498,1.808748309,2.638720828,1957.496338,4960.545428,3830.97575,-7.620642,1.812226,2.64139,2052.158653
9.053147212,-7.625255653,1.801792804,2.63338216,1949.872621,4962.350698,3833.611802,-7.623717,1.80527,2.636052,2060.424779
9.069813878,-7.628331807,1.794837299,2.628043492,1942.245827,4964.149013,3836.242514,-7.626794,1.798315,2.630712,2068.690526
9.086480545,-7.631407962,1.787881794,2.622704824,1934.615957,4965.940373,3838.867889,-7.62987,1.79136,2.625375,2076.955904
9.103147212,-7.634484116,1.780926289,2.617366156,1926.983011,4967.724777,3841.487924,-7.632946,1.784404,2.620035,2085.220923
9.119813878,-7.637560271,1.773970784,2.612027488,1919.346989,4969.502225,3844.102621,-7.636022,1.777448,2.614697,2093.485595
9.136480545,-7.640636425,1.767015279,2.60668882,1911.70789,4971.272718,3846.711979,-7.639099,1.770493,2.609358,2101.749929
9.153147212,-7.64371258,1.760059774,2.601350153,1904.065716,4973.036256,3849.315998,-7.642174,1.763538,2.604019,2110.013936
9.169813878,-7.646788734,1.753104269,2.596011485,1896.420465,4974.792838,3851.914679,-7.645251,1.756582,2.598681,2118.277627
9.186480545,-7.649864889,1.746148764,2.590672817,1888.772138,4976.542464,3854.508022,-7.648327,1.749626,2.593343,2126.541011
9.203147212,-7.652941043,1.739193259,2.585334149,1881.120736,4978.285135,3857.096025,-7.651402,1.742671,2.588003,2134.804099
9.219813878,-7.656017198,1.732237754,2.579995481,1873.466256,4980.020851,3859.67869,-7.65448,1.735716,2.582665,2143.066903
9.236480545,-7.659093352,1.725282249,2.574656813,1865.806085,4981.742634,3862.25059,-7.660171,1.721783,2.5719,2151.328708
9.253147212,-7.667400571,1.704371838,2.558466844,1858.146053,4983.464765,3864.822761,-7.660032,1.722131,2.572171,2159.590542
9.269813878,-7.669278572,1.698069451,2.553493877,1850.477714,4985.165985,3867.378741,-7.668339,1.70122,2.55598,2167.850724
9.286480545,-7.671156574,1.691767064,2.548520909,1842.807496,4986.860903,3869.929748,-7.670218,1.694918,2.551007,2176.109817
9.303147212,-7.673034576,1.685464677,2.543547942,1835.135401,4988.549519,3872.475783,-7.672095,1.688616,2.546035,2184.367829
9.319813878,-7.674912578,1.67916229,2.538574975,1827.461427,4990.231833,3875.016844,-7.673974,1.682314,2.541061,2192.624769
9.336480545,-7.67679058,1.672859903,2.533602007,1819.785575,4991.907844,3877.552933,-7.675852,1.676011,2.536089,2200.880643
9.353147212,-7.678668582,1.666557516,2.52862904,1812.107846,4993.577553,3880.084048,-7.677729,1.669709,2.531115,2209.135459
9.369813878,-7.680546584,1.660255129,2.523656072,1804.428238,4995.240959,3882.610191,-7.679608,1.663406,2.526143,2217.389228
9.386480545,-7.682424586,1.653952742,2.518683105,1796.746752,4996.898063,3885.13136,-7.681486,1.657104,2.521169,2225.641956
9.403147212,-7.684302588,1.647650355,2.513710138,1789.063389,4998.548864,3887.647557,-7.683363,1.650801,2.516197,2233.89365
9.419813878,-7.68618059,1.641347968,2.50873717,1781.378147,5000.193364,3890.158781,-7.685242,1.6445,2.511224,2242.144321
9.436480545,-7.688058592,1.635045581,2.503764203,1773.691028,5001.83156,3892.665031,-7.687119,1.638196,2.50625,2250.393974
9.453147212,-7.689936593,1.628743194,2.498791235,1766.00203,5003.463455,3895.166309,-7.688998,1.631895,2.501278,2258.64262
9.469813878,-7.691814595,1.622440807,2.493818268,1758.311155,5005.089047,3897.662614,-7.690875,1.625592,2.496305,2266.890265
9.486480545,-7.693692597,1.61613842,2.488845301,1750.618401,5006.708336,3900.153946,-7.692754,1.619289,2.491332,2275.136919
9.503147212,-7.695570599,1.609836032,2.483872333,1742.92377,5008.321324,3902.640304,-7.694631,1.612988,2.486358,2283.382587
9.519813878,-7.697448601,1.603533645,2.478899366,1735.22726,5009.928008,3905.12169,-7.69651,1.606684,2.481386,2291.627281
9.536480545,-7.699326603,1.597231258,2.473926398,1727.528872,5011.528391,3907.598103,-7.698388,1.600383,2.476413,2299.871008
9.553147212,-7.701204605,1.590928871,2.468953431,1719.828607,5013.122471,3910.069543,-7.700265,1.59408,2.47144,2308.113773
9.569813878,-7.703082607,1.584626484,2.463980464,1712.126463,5014.710249,3912.53601,-7.702144,1.587778,2.466467,2316.355589
9.586480545,-7.704960609,1.578324097,2.459007496,1704.422441,5016.291724,3914.997504,-7.704022,1.581475,2.461494,2324.596461
9.603147212,-7.706838611,1.57202171,2.454034529,1696.716542,5017.866897,3917.454025,-7.705899,1.575173,2.456521,2332.836397
9.619813878,-7.708716613,1.565719323,2.449061561,1689.008764,5019.435767,3919.905573,-7.707778,1.56887,2.451548,2341.075406
9.636480545,-7.710594614,1.559416936,2.444088594,1681.299108,5020.998335,3922.352148,-7.709656,1.562568,2.446575,2349.313497
9.653147212,-7.712472616,1.553114549,2.439115626,1673.587575,5022.554601,3924.79375,-7.711533,1.556266,2.441602,2357.550677
9.669813878,-7.714350618,1.546812162,2.434142659,1665.874163,5024.104565,3927.230379,-7.713412,1.549964,2.436629,2365.786955
9.686480545,-7.71622862,1.540509775,2.429169692,1658.158874,5025.648226,3929.662036,-7.715289,1.543661,2.431657,2374.022338
9.703147212,-7.718106622,1.534207388,2.424196724,1650.441706,5027.185584,3932.088719,-7.717168,1.537358,2.426683,2382.256835
9.719813878,-7.719984624,1.527905001,2.419223757,1642.722661,5028.71664,3934.510429,-7.719045,1.531056,2.42171,2390.490453
9.736480545,-7.721862626,1.521602614,2.414250789,1635.001737,5030.241394,3936.927166,-7.720924,1.524754,2.416737,2398.723202
9.753147212,-7.723740628,1.515300227,2.409277822,1627.278935,5031.759846,3939.338931,-7.722802,1.518452,2.411765,2406.95509
9.769813878,-7.72561863,1.50899784,2.404304855,1619.554256,5033.271995,3941.745722,-7.724679,1.512149,2.406791,2415.186123
9.786480545,-7.727496632,1.502695453,2.399331887,1611.827698,5034.777841,3944.14754,-7.726558,1.505846,2.401818,2423.416311
9.803147212,-7.729374633,1.496393066,2.39435892,1604.099263,5036.277385,3946.544386,-7.728435,1.499544,2.396846,2431.645662
9.819813878,-7.731252635,1.490090678,2.389385952,1596.368949,5037.770627,3948.936258,-7.730314,1.493242,2.391872,2439.874184
9.836480545,-7.733130637,1.483788291,2.384412985,1588.636757,5039.257567,3951.323158,-7.732192,1.48694,2.3869,2448.101886
9.853147212,-7.735008639,1.477485904,2.379440018,1580.902688,5040.738204,3953.705084,-7.734069,1.480637,2.381926,2456.328773
9.869813878,-7.736886641,1.471183517,2.37446705,1573.16674,5042.212539,3956.082038,-7.735948,1.474335,2.376954,2464.554858
9.886480545,-7.738764643,1.46488113,2.369494083,1565.428914,5043.680571,3958.454018,-7.737826,1.468032,2.37198,2472.780145
9.903147212,-7.740642645,1.458578743,2.364521115,1557.689211,5045.142301,3960.821026,-7.739703,1.46173,2.367008,2481.004645
9.919813878,-7.742520647,1.452276356,2.359548148,1549.947629,5046.597728,3963.18306,-7.741582,1.455427,2.362034,2489.228364
9.936480545,-7.744398649,1.445973969,2.354575181,1542.204169,5048.046854,3965.540122,-7.74346,1.449126,2.357062,2497.451313
9.953147212,-7.746276651,1.439671582,2.349602213,1534.458832,5049.489676,3967.892211,-7.745337,1.442822,2.352089,2505.673496
9.969813878,-7.748154653,1.433369195,2.344629246,1526.711616,5050.926197,3970.239327,-7.747216,1.436521,2.347116,2513.894926
9.986480545,-7.750032654,1.427066808,2.339656278,1518.962523,5052.356415,3972.581469,-7.749093,1.430218,2.342142,2522.115606
10.00314721,-7.751910656,1.420764421,2.334683311,1511.21155,5053.780331,3974.918639,-7.750973,1.423916,2.33717,2530.335551
10.01981388,-7.753788658,1.414462034,2.329710344,1503.458699,5055.197944,3977.250837,-7.752851,1.417613,2.332198,2538.554764
10.03648055,-7.75566666,1.408159647,2.324737376,1495.703974,5056.609254,3979.57806,-7.754725,1.41131,2.327223,2546.773251
10.05314721,-7.757544662,1.40185726,2.319764409,1487.947367,5058.014263,3981.900311,-7.756607,1.405009,2.322251,2554.991028
10.06981388,-7.759422664,1.395554873,2.314791441,1480.188882,5059.412969,3984.217589,-7.758485,1.398706,2.317278,2563.208098
10.08648055,-7.761300666,1.389252486,2.309818474,1472.428523,5060.805373,3986.529893,-7.760359,1.392404,2.312304,2571.424466
10.10314721,-7.763178668,1.382950099,2.304845506,1464.666282,5062.191474,3988.837226,-7.762241,1.386101,2.307333,2579.640149
10.11981388,-7.76505667,1.376647712,2.299872539,1456.902163,5063.571273,3991.139585,-7.764119,1.379799,2.302359,2587.855151
10.13648055,-7.766934672,1.370345325,2.294899572,1449.13617,5064.944769,3993.43697,-7.765993,1.373496,2.297385,2596.069474
10.15314721,-7.768812674,1.364042937,2.289926604,1441.368295,5066.311964,3995.729384,-7.767875,1.367195,2.292414,2604.283138
10.16981388,-7.770690675,1.35774055,2.284953637,1433.598542,5067.672856,3998.016825,-7.769753,1.360892,2.287441,2612.496144
10.18648055,-7.772568677,1.351438163,2.279980669,1425.826915,5069.027444,4000.299291,-7.771627,1.354588,2.282466,2620.708498
10.20314721,-7.774446679,1.345135776,2.275007702,1418.053406,5070.375732,4002.576785,-7.773509,1.348288,2.277494,2628.920215
10.21981388,-7.776324681,1.338833389,2.270034735,1410.278019,5071.717717,4004.849307,-7.775387,1.341985,2.272522,2637.1313
10.23648055,-7.778202683,1.332531002,2.265061767,1402.498828,5073.046425,4007.11133,-7.779191,1.328708,2.262023,2645.34093
10.25314721,-7.783941436,1.31228126,2.249039612,1394.719696,5074.375366,4009.373538,-7.779132,1.328941,2.262208,2653.550593
10.26981388,-7.785795494,1.305101204,2.243331699,1386.934826,5075.684057,4011.619724,-7.78487,1.308691,2.246186,2661.758042
10.28648055,-7.787649552,1.297921149,2.237623785,1379.148107,5076.985568,4013.860201,-7.786719,1.301511,2.240477,2669.964544
10.30314721,-7.78950361,1.290741093,2.231915871,1371.359529,5078.279899,4016.094971,-7.788578,1.294331,2.23477,2678.170117
10.31981388,-7.791357668,1.283561037,2.226207957,1363.569097,5079.567051,4018.324034,-7.790432,1.287152,2.229063,2686.374769
10.33648055,-7.793211726,1.276380981,2.220500044,1355.776815,5080.847021,4020.547387,-7.792282,1.27997,2.223353,2694.578505
