MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
10.79391611,1156.291456,5101.631716,4066.844506
10.8273338,1140.681578,5103.678461,4070.861872
10.8607515,1125.057169,5105.70312,4074.863337
10.8941692,1109.418457,5107.705606,4078.848788
10.92758689,1093.765666,5109.685832,4082.818114
10.96100459,1078.099022,5111.643711,4086.771203
10.99442229,1062.418747,5113.579158,4090.707947
11.02783998,1046.725064,5115.492089,4094.628237
11.06125768,1031.018194,5117.382421,4098.531964
11.09467538,1015.298356,5119.250071,4102.419023
11.12809307,999.5657702,5121.094957,4106.289308
11.16151077,983.8206528,5122.917,4110.142714
11.19492847,968.0632209,5124.716119,4113.979137
11.22834617,952.2936896,5126.492237,4117.798476
11.26176386,936.5122732,5128.245275,4121.600627
11.29518156,920.7191847,5129.975156,4125.385491
11.32859926,904.9146361,5131.681806,4129.152968
11.36201695,889.098838,5133.365148,4132.902959
